Track>Key>Views>Likes>Stream
Feel Good Inc.>6.0>693555221.0>6220896.0>1040234854.0
Rhinestone Eyes>8.0>72011645.0>1079128.0>310083733.0
New Gold (feat. Tame Impala and Bootie Brown)>1.0>8435055.0>282142.0>63063467.0
On Melancholy Hill>2.0>211754952.0>1788577.0>434663559.0
Clint Eastwood>10.0>618480958.0>6197318.0>617259738.0
DARE>11.0>259021161.0>1844658.0>323850327.0
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix>4.0>451996.0>11686.0>10666154.0
She's My Collar (feat. Kali Uchis)>11.0>1010982.0>17675.0>159605929.0
Cracker Island (feat. Thundercat)>2.0>24459820.0>739527.0>42671901.0
Dirty Harry>10.0>154761056.0>1386920.0>191074713.0
Californication>9.0>1018811259.0>4394471.0>1055738398.0
Under the Bridge>4.0>246687714.0>1213572.0>1061750522.0
Can't Stop>9.0>336635759.0>1740224.0>866464951.0
Scar Tissue>0.0>435121530.0>1890900.0>613838674.0
Otherside>0.0>673528656.0>3140356.0>732774515.0
Snow (Hey Oh)>11.0>320871237.0>1272266.0>860722316.0
Dani California>0.0>324228662.0>1456622.0>550067391.0
By the Way>0.0>179005296.0>784717.0>367485508.0
Give It Away>7.0>86637926.0>434837.0>301947159.0
Dark Necessities>5.0>440037964.0>2094182.0>385677873.0
In Da Club>6.0>1682616458.0>10481678.0>1041736808.0
Candy Shop>11.0>838974650.0>5014527.0>701248893.0
Just A Lil Bit>1.0>476133463.0>2523312.0>395155110.0
P.I.M.P.>10.0>572659065.0>3334710.0>541728561.0
Many Men (Wish Death)>6.0>441155628.0>2765887.0>332175400.0
Disco Inferno>3.0>39825951.0>382791.0>202477187.0
21 Questions>6.0>503248572.0>2759199.0>446003044.0
Is This Love ('09) (feat. 50 Cent)>8.0>5289821.0>245935.0>28529840.0
If I Can't>11.0>46096.0>612.0>210473579.0
Best Friend - Remix>10.0>291023.0>5729.0>160037992.0
Whiskey In The Jar>10.0>107553434.0>429797.0>327681785.0
Lux Æterna>11.0>14937918.0>473751.0>20061385.0
Screaming Suicide>4.0>4317758.0>217109.0>3905429.0
Yellow>11.0>832532409.0>4600933.0>1483622308.0
Viva La Vida>5.0>789581468.0>4370461.0>1325575712.0
Sparks>1.0>73201019.0>787343.0>475353044.0
Something Just Like This>11.0>2118018686.0>10282499.0>2030825694.0
The Scientist>5.0>1082588109.0>5532787.0>1465980600.0
A Sky Full of Stars>6.0>786404613.0>3741300.0>1021782403.0
Paradise>5.0>1665814269.0>8497224.0>927288329.0
Hymn for the Weekend>0.0>1828242112.0>13515772.0>1049654852.0
My Universe>1.0>254655970.0>8867547.0>883224238.0
Fix You>3.0>566239229.0>2962029.0>1115171056.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit>6.0>32310867.0>956073.0>844698895.0
One More Time>2.0>432177586.0>2707992.0>471747761.0
Instant Crush (feat. Julian Casablancas)>10.0>606828966.0>3111505.0>460589724.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers)>6.0>32310867.0>956073.0>400304719.0
Around the World>7.0>38218353.0>466569.0>293417547.0
Harder, Better, Faster, Stronger>6.0>121308880.0>1329678.0>292668007.0
Something About Us>9.0>77464307.0>723914.0>185381876.0
Lose Yourself to Dance (feat. Pharrell Williams)>10.0>195983803.0>1115598.0>274711166.0
Veridis Quo>9.0>23984070.0>216822.0>90589464.0
Digital Love>9.0>30079390.0>203063.0>115484456.0
In the End>3.0>1487186392.0>10183387.0>1444841705.0
Numb>9.0>1928733776.0>12341722.0>1195213410.0
What I've Done>5.0>587927093.0>3370635.0>589294152.0
Numb / Encore>2.0>44436981.0>226771.0>778880225.0
One Step Closer>9.0>154808291.0>1102031.0>447287242.0
Faint>4.0>378323695.0>2061834.0>413355749.0
Bleed It Out>1.0>135176149.0>762715.0>388331061.0
Papercut>9.0>240834555.0>1400306.0>345142662.0
Crawling>4.0>374506972.0>2197293.0>391929621.0
BURN IT DOWN>9.0>353135986.0>2534190.0>368132993.0
Creep>7.0>763497849.0>4777393.0>1101854725.0
No Surprises>5.0>167847274.0>1274934.0>379349681.0
Karma Police>7.0>89246405.0>593396.0>382823305.0
High and Dry>4.0>80290.0>2133.0>291096318.0
Exit Music (For A Film)>4.0>10644157.0>171322.0>146857863.0
Weird Fishes/ Arpeggi>11.0>15335499.0>125774.0>121688699.0
Jigsaw Falling Into Place>11.0>26398730.0>180969.0>79367881.0
Fake Plastic Trees>2.0>61340263.0>398951.0>219867047.0
Just>7.0>15041854.0>146328.0>88945336.0
Nude>4.0>12205514.0>124486.0>86388469.0
Highway to Hell>6.0>274830901.0>2039258.0>1143164505.0
Thunderstruck>4.0>1224226060.0>5989128.0>1088388556.0
Back In Black>9.0>915158054.0>5643694.0>1182379398.0
You Shook Me All Night Long>7.0>279117834.0>1348845.0>802076123.0
T.N.T.>9.0>240908491.0>934797.0>526521070.0
