Track>Album>Album_type>Title>Views>Likes>Comments>Stream
Feel Good Inc.>Demon Days>album>Gorillaz - Feel Good Inc. (Official Video)>693555221.0>6220896.0>169907.0>1040234854.0
Rhinestone Eyes>Plastic Beach>album>Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video)>72011645.0>1079128.0>31003.0>310083733.0
New Gold (feat. Tame Impala and Bootie Brown)>New Gold (feat. Tame Impala and Bootie Brown)>single>Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser)>8435055.0>282142.0>7399.0>63063467.0
On Melancholy Hill>Plastic Beach>album>Gorillaz - On Melancholy Hill (Official Video)>211754952.0>1788577.0>55229.0>434663559.0
Clint Eastwood>Gorillaz>album>Gorillaz - Clint Eastwood (Official Video)>618480958.0>6197318.0>155930.0>617259738.0
DARE>Demon Days>album>Gorillaz - DARE (Official Video)>259021161.0>1844658.0>72008.0>323850327.0
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix>New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix]>single>Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video)>451996.0>11686.0>241.0>10666154.0
She's My Collar (feat. Kali Uchis)>Humanz (Deluxe)>album>Gorillaz - She's My Collar [HQ]>1010982.0>17675.0>260.0>159605929.0
Cracker Island (feat. Thundercat)>Cracker Island (feat. Thundercat)>single>Gorillaz - Cracker Island ft. Thundercat (Official Video)>24459820.0>739527.0>20296.0>42671901.0
Dirty Harry>Demon Days>album>Gorillaz - Dirty Harry (Official Video)>154761056.0>1386920.0>39240.0>191074713.0
Californication>Californication (Deluxe Edition)>album>Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE]>1018811259.0>4394471.0>121452.0>1055738398.0
Under the Bridge>Blood Sugar Sex Magik (Deluxe Edition)>album>Red Hot Chili Peppers - Under The Bridge [Official Music Video]>246687714.0>1213572.0>32761.0>1061750522.0
Can't Stop>By the Way (Deluxe Edition)>album>Red Hot Chili Peppers - Can't Stop [Official Music Video]>336635759.0>1740224.0>32573.0>866464951.0
Scar Tissue>Californication (Deluxe Edition)>album>Red Hot Chili Peppers - Scar Tissue [Official Music Video]>435121530.0>1890900.0>37069.0>613838674.0
Otherside>Californication (Deluxe Edition)>album>Red Hot Chili Peppers - Otherside [Official Music Video]>673528656.0>3140356.0>60091.0>732774515.0
Snow (Hey Oh)>Stadium Arcadium>album>Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video)>320871237.0>1272266.0>37004.0>860722316.0
Dani California>Stadium Arcadium>album>Red Hot Chili Peppers - Dani California [Official Music Video]>324228662.0>1456622.0>49461.0>550067391.0
By the Way>By the Way (Deluxe Edition)>album>Red Hot Chili Peppers - By The Way [Official Music Video]>179005296.0>784717.0>20084.0>367485508.0
Give It Away>Blood Sugar Sex Magik (Deluxe Edition)>album>Red Hot Chili Peppers - Give It Away [Official Music Video]>86637926.0>434837.0>16029.0>301947159.0
Dark Necessities>The Getaway>album>Red Hot Chili Peppers - Dark Necessities [Official Music Video]>440037964.0>2094182.0>56516.0>385677873.0
In Da Club>Get Rich Or Die Tryin'>album>50 Cent - In Da Club (Official Music Video)>1682616458.0>10481678.0>296745.0>1041736808.0
Candy Shop>The Massacre>album>50 Cent - Candy Shop (Official Music Video) ft. Olivia>838974650.0>5014527.0>113251.0>701248893.0
Just A Lil Bit>The Massacre>album>50 Cent - Just A Lil Bit>476133463.0>2523312.0>42075.0>395155110.0
P.I.M.P.>Get Rich Or Die Tryin'>album>50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit>572659065.0>3334710.0>60552.0>541728561.0
Many Men (Wish Death)>Get Rich Or Die Tryin'>album>50 Cent - Many Men (Wish Death) (Dirty Version)>441155628.0>2765887.0>84117.0>332175400.0
Disco Inferno>The Massacre>album>50 Cent - Disco Inferno (Official Music Video)>39825951.0>382791.0>12038.0>202477187.0
21 Questions>Get Rich Or Die Tryin'>album>50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg>503248572.0>2759199.0>54805.0>446003044.0
Is This Love ('09) (feat. 50 Cent)>Curtain Call 2>album>Eminem, 50 Cent - Is This Love ('09) [Visualizer]>5289821.0>245935.0>9008.0>28529840.0
If I Can't>Get Rich Or Die Tryin'>album>50 Cent - If I Can't (Official Music Video)>46096.0>612.0>14.0>210473579.0
Best Friend - Remix>Best Friend (Remix)>single>50 Cent-Best Friend(Remix)>291023.0>5729.0>46.0>160037992.0
