Artist^Track^Tempo^Stream
Gorillaz^Feel Good Inc.^138.559^1040234854.0
Gorillaz^Rhinestone Eyes^92.761^310083733.0
Gorillaz^New Gold (feat. Tame Impala and Bootie Brown)^108.014^63063467.0
Gorillaz^On Melancholy Hill^120.423^434663559.0
Gorillaz^Clint Eastwood^167.953^617259738.0
Gorillaz^DARE^120.264^323850327.0
Gorillaz^New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix^127.03^10666154.0
Gorillaz^She's My Collar (feat. Kali Uchis)^140.158^159605929.0
Gorillaz^Cracker Island (feat. Thundercat)^120.012^42671901.0
Gorillaz^Dirty Harry^192.296^191074713.0
Red Hot Chili Peppers^Californication^96.483^1055738398.0
Red Hot Chili Peppers^Under the Bridge^84.581^1061750522.0
Red Hot Chili Peppers^Can't Stop^91.455^866464951.0
Red Hot Chili Peppers^Scar Tissue^88.969^613838674.0
Red Hot Chili Peppers^Otherside^123.229^732774515.0
Red Hot Chili Peppers^Snow (Hey Oh)^104.655^860722316.0
Red Hot Chili Peppers^Dani California^96.184^550067391.0
Red Hot Chili Peppers^By the Way^122.444^367485508.0
Red Hot Chili Peppers^Give It Away^91.577^301947159.0
Red Hot Chili Peppers^Dark Necessities^91.959^385677873.0
50 Cent^In Da Club^90.059^1041736808.0
50 Cent^Candy Shop^125.173^701248893.0
50 Cent^Just A Lil Bit^96.946^395155110.0
50 Cent^P.I.M.P.^78.693^541728561.0
50 Cent^Many Men (Wish Death)^108.52^332175400.0
50 Cent^Disco Inferno^97.018^202477187.0
50 Cent^21 Questions^90.012^446003044.0
50 Cent^Is This Love ('09) (feat. 50 Cent)^94.028^28529840.0
50 Cent^If I Can't^93.975^210473579.0
50 Cent^Best Friend - Remix^181.733^160037992.0
Metallica^Whiskey In The Jar^132.97^327681785.0
Metallica^Lux Æterna^130.573^20061385.0
Metallica^Screaming Suicide^101.125^3905429.0
Coldplay^Yellow^173.372^1483622308.0
Coldplay^Viva La Vida^138.015^1325575712.0
Coldplay^Sparks^102.617^475353044.0
Coldplay^Something Just Like This^103.019^2030825694.0
Coldplay^The Scientist^146.277^1465980600.0
Coldplay^A Sky Full of Stars^124.97^1021782403.0
Coldplay^Paradise^139.631^927288329.0
Coldplay^Hymn for the Weekend^90.027^1049654852.0
Coldplay^My Universe^105.006^883224238.0
Coldplay^Fix You^138.178^1115171056.0
Daft Punk^Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit^116.047^844698895.0
Daft Punk^One More Time^122.746^471747761.0
